0,none,norm,2,435,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,37,195,5,jsp,146
254,application/x-www-form-urlencoded,norm,0,611,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,bau*gnon,25,50,13,jsp,0
0,none,norm,0,544,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,armand,33,304,13,jsp,253
253,application/x-www-form-urlencoded,norm,0,610,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,balademas.mareuil6@40enlanzarote.com.vc,Mozilla/5.0,Samia,8,armand,24,50,13,jsp,0
0,none,norm,0,279,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,8,39,0,gif,0
0,none,norm,0,309,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,12,69,1,jsp,20
20,application/x-www-form-urlencoded,norm,0,374,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,3,48,1,jsp,0
0,none,norm,0,307,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,67,1,jsp,18
18,application/x-www-form-urlencoded,norm,0,372,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,48,1,jsp,0
0,none,norm,0,306,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,66,0,jsp,0
0,none,norm,0,274,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,6,34,0,htm,0
0,none,norm,0,280,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,7,40,0,jsp,0
0,none,norm,0,291,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,8,51,0,BAK,0
0,none,norm,0,320,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,14,80,0,jpg,0
0,none,norm,0,289,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,49,0,jsp,0
0,none,norm,0,292,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,52,0,jsp,0
0,none,norm,0,688,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Sol,6,thyagara,57,448,13,jsp,398
398,application/x-www-form-urlencoded,norm,0,754,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Sol,6,thyagara,48,49,13,jsp,0
0,none,norm,0,514,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Sol,6,thyagara,31,274,13,jsp,224
224,application/x-www-form-urlencoded,norm,0,580,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Sol,6,thyagara,22,49,13,jsp,0
0,none,norm,0,527,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Il@2Ci@3Fdio,6,thyagara,32,287,13,jsp,237
237,application/x-www-form-urlencoded,norm,0,593,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Il@2Ci@3Fdio,6,thyagara,23,49,13,jsp,0
0,none,norm,0,519,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Sol,6,thyagara,30,279,13,jsp,229
229,application/x-www-form-urlencoded,norm,0,585,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,tissier@40b-sign.cg,Mozilla/5.0,Sol,6,thyagara,21,49,13,jsp,0
0,none,norm,0,281,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,41,0,cnf,0
0,none,norm,0,289,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,7,49,0,jsp,0
0,none,norm,0,425,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,30,185,5,jsp,136
136,application/x-www-form-urlencoded,norm,0,491,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,21,48,5,jsp,0
0,none,norm,0,365,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,21,125,5,jsp,76
76,application/x-www-form-urlencoded,norm,0,430,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,12,48,5,jsp,0
0,none,norm,0,363,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,20,123,5,jsp,74
74,application/x-www-form-urlencoded,norm,0,428,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Jam@F3n+Ib@E9rico,0,null,11,48,5,jsp,0
0,none,norm,0,291,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,8,51,0,cfm,0
63,application/x-www-form-urlencoded,norm,0,420,no-cache,localhost:9090,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,9,modestin,5,52,5,jsp,0
0,none,norm,0,428,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,bob@2540@253CSCRipt@253Ealert@2528Paros@2529@253C@252FscrIPT@253E.parosproxy.org,24,188,5,jsp,135
135,application/x-www-form-urlencoded,norm,0,494,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,9,bob@2540@253CSCRipt@253Ealert@2528Paros@2529@253C@252FscrIPT@253E.parosproxy.org,15,52,5,jsp,0
0,none,norm,0,364,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,modestin,17,124,5,jsp,71
71,application/x-www-form-urlencoded,norm,0,429,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,17,modestin,8,52,5,jsp,0
0,none,norm,0,357,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,14,117,5,jsp,64
64,application/x-www-form-urlencoded,norm,0,422,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,9,null,5,52,5,jsp,0
0,none,norm,0,289,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,6,49,0,nul,0
4,application/x-www-form-urlencoded,norm,0,365,no-cache,localhost:9090,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,1,57,1,jsp,0
0,none,norm,0,306,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,66,1,jsp,8
8,application/x-www-form-urlencoded,norm,0,370,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,57,1,jsp,0
0,none,norm,0,303,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,10,63,1,jsp,5
5,application/x-www-form-urlencoded,norm,0,367,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,1,57,1,jsp,0
0,none,norm,0,301,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,61,0,jsp,0
0,none,norm,0,283,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,8,43,0,nul,0
0,none,norm,0,402,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,21,162,1,jsp,113
113,application/x-www-form-urlencoded,norm,0,468,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,12,48,1,jsp,0
0,none,norm,0,344,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,26,104,1,jsp,55
55,application/x-www-form-urlencoded,norm,0,409,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,17,48,1,jsp,0
0,none,norm,0,323,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,83,1,jsp,34
34,application/x-www-form-urlencoded,norm,0,388,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,48,1,jsp,0
0,none,norm,0,294,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,54,0,jsp,0
0,none,norm,0,280,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,7,40,0,htr,0
0,none,norm,0,387,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,19,147,3,jsp,99
99,application/x-www-form-urlencoded,norm,0,452,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,10,47,3,jsp,0
0,none,norm,0,329,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,13,89,3,jsp,41
41,application/x-www-form-urlencoded,norm,0,394,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,4,47,3,jsp,0
0,none,norm,0,332,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,14,92,3,jsp,44
44,application/x-www-form-urlencoded,norm,0,397,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,5,47,3,jsp,0
0,none,norm,0,301,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,8,61,0,bak,0
0,none,norm,0,597,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,taube@40farmaoferta.bi,Mozilla/5.0,Juan,70,audy,51,357,13,jsp,306
306,application/x-www-form-urlencoded,norm,0,663,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,taube@40farmaoferta.bi,Mozilla/5.0,Juan,70,audy,42,50,13,jsp,0
0,none,norm,0,545,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,taube@40farmaoferta.bi,Mozilla/5.0,@3FP@27r@F3spero,6,audy,36,305,13,jsp,254
254,application/x-www-form-urlencoded,norm,0,611,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,taube@40farmaoferta.bi,Mozilla/5.0,@3FP@27r@F3spero,6,audy,27,50,13,jsp,0
0,none,norm,0,534,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,taube@40farmaoferta.bi,Mozilla/5.0,Juan,6,null,33,294,13,jsp,243
243,application/x-www-form-urlencoded,norm,0,600,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,taube@40farmaoferta.bi,Mozilla/5.0,Juan,6,null,24,50,13,jsp,0
0,none,norm,0,372,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,20,132,1,jsp,83
83,application/x-www-form-urlencoded,norm,0,437,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,48,1,jsp,0
0,none,norm,0,307,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,67,1,jsp,18
18,application/x-www-form-urlencoded,norm,0,372,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,48,1,jsp,0
0,none,norm,0,314,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,74,0,jsp,0
0,none,norm,0,301,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,10,61,0,jpg,0
0,none,norm,0,570,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,cossar@40asdn.be,Mozilla/5.0,Zorella,7,ballarte,37,330,13,jsp,280
280,application/x-www-form-urlencoded,norm,0,636,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,cossar@40asdn.be,Mozilla/5.0,Zorella,7,ballarte,28,49,13,jsp,0
0,none,norm,0,522,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,cossar@40asdn.be,Mozilla/5.0,Zorella,7,ballarte,32,282,13,jsp,232
232,application/x-www-form-urlencoded,norm,0,588,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,cossar@40asdn.be,Mozilla/5.0,Zorella,7,ballarte,23,49,13,jsp,0
0,none,norm,0,524,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,cossar@40asdn.be,Mozilla/5.0,Zorella,7,ballarte,32,284,13,jsp,234
234,application/x-www-form-urlencoded,norm,0,590,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,cossar@40asdn.be,Mozilla/5.0,Zorella,7,ballarte,23,49,13,jsp,0
0,none,norm,0,300,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,60,0,gif,0
0,none,norm,0,280,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,7,40,0,jsp,0
0,none,norm,0,288,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,48,0,gif,0
0,none,norm,0,286,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,8,46,0,exe,0
0,none,norm,0,291,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,51,0,gif,0
0,none,norm,0,432,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Vino+Riojaany@253F@250D@250ASet-cookie@253A@2BTamper@253D1041264011025374727@250D@250A,0,null,27,192,5,jsp,143
143,application/x-www-form-urlencoded,norm,0,498,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Vino+Riojaany@253F@250D@250ASet-cookie@253A@2BTamper@253D1041264011025374727@250D@250A,0,null,18,48,5,jsp,0
0,none,norm,0,361,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Vino+.*@3FRioja,0,null,21,121,5,jsp,72
72,application/x-www-form-urlencoded,norm,0,426,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Vino+.*@3FRioja,0,null,12,48,5,jsp,0
0,none,norm,0,359,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,c@2F@3Fa@2Cry,17,119,5,jsp,66
66,application/x-www-form-urlencoded,norm,0,424,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,8,c@2F@3Fa@2Cry,8,52,5,jsp,0
0,none,norm,0,353,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,lucie8,14,113,5,jsp,60
60,application/x-www-form-urlencoded,norm,0,418,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,lucie8,5,52,5,jsp,0
0,none,norm,0,307,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,67,1,jsp,9
9,application/x-www-form-urlencoded,norm,0,371,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,57,1,jsp,0
0,none,norm,0,303,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,10,63,1,jsp,5
5,application/x-www-form-urlencoded,norm,0,367,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,1,57,1,jsp,0
0,none,norm,0,298,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,58,0,jsp,0
0,none,norm,0,359,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,16,119,1,jsp,70
70,application/x-www-form-urlencoded,norm,0,424,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,7,48,1,jsp,0
0,none,norm,0,323,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,83,1,jsp,34
34,application/x-www-form-urlencoded,norm,0,388,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,2,48,1,jsp,0
0,none,norm,0,333,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,15,93,3,jsp,45
45,application/x-www-form-urlencoded,norm,0,398,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,6,47,3,jsp,0
0,none,norm,0,331,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,14,91,3,jsp,43
43,application/x-www-form-urlencoded,norm,0,396,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,5,47,3,jsp,0
0,none,norm,0,558,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,andre@40alfombra.com.me,Mozilla/5.0,Viviana,8,couse,40,318,13,jsp,267
267,application/x-www-form-urlencoded,norm,0,624,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,andre@40alfombra.com.me,Mozilla/5.0,Viviana,8,couse,31,50,13,jsp,0
0,none,norm,0,532,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,andre@40alfombra.com.me,Mozilla/5.0,Viviana,8,couse,33,292,13,jsp,241
241,application/x-www-form-urlencoded,norm,0,598,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,andre@40alfombra.com.me,Mozilla/5.0,Viviana,8,couse,24,50,13,jsp,0
0,none,norm,0,537,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Viviana,8,couse,33,297,13,jsp,246
246,application/x-www-form-urlencoded,norm,0,603,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,Viviana,8,couse,24,50,13,jsp,0
0,none,norm,0,280,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,9,40,0,gif,0
0,none,norm,0,391,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,23,151,1,jsp,102
102,application/x-www-form-urlencoded,norm,0,457,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,14,48,1,jsp,0
0,none,norm,0,307,no-cache,localhost:8080,close,no-cache,en,x-gzip| x-deflate| gzip| deflat,null,Mozilla/5.0,null,0,null,11,67,1,jsp,18
